id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,availability_365
757342235277207834,Elegant Studio in Center Square,188679144,Elizabeth,SIXTH WARD,42.65534,-73.76461,Entire home/apt,63.0,7,14,336
757978037279611051,Charming location near universities & hospital,232967878,Diana,THIRTEENTH WARD,42.67261,-73.79262,Entire home/apt,105.0,2,49,52
761141715827746314,"Great place in the heart of Albany, with Parking",37769478,Erion,SIXTH WARD,42.65405,-73.76953,Entire home/apt,89.0,1,44,272
764508866835218670,Rest+Restore Room • Short & Extended Stay •,6203319,Melissa,TENTH WARD,42.66117,-73.79091,Private room,64.0,1,31,74
770934454668024322,Albany 2 Bedroom House,48328222,John,FOURTEENTH WARD,42.6631926,-73.8153245,Entire home/apt,131.0,1,10,21
774701102203414342,Entire cozy unit in Albany,261036923,Hasan,FOURTEENTH WARD,42.6601,-73.80719,Entire home/apt,63.0,1,59,251
784781397995494758,Private bedroom and private bath w/separate entry,491907850,Donna,FOURTEENTH WARD,42.66298,-73.81361,Private room,45.0,1,15,83
786181179052991690,Center Square Gem: Junior 1 Bedroom,188679144,Elizabeth,THIRD WARD,42.65653,-73.76223,Entire home/apt,70.0,1,3,335
786228331433922432,Glamorous 1BR Retreat in Center Square,188679144,Elizabeth,SIXTH WARD,42.65322,-73.76249,Entire home/apt,93.0,7,4,357
786316043239579100,Elegant newly renovated cozy smart apartment,253824490,Tomar,FIFTH WARD,42.6591503133547,-73.75431932508945,Entire home/apt,86.0,2,36,187
787023821243442039,*The Allen House* Gorgeous Apartment - Sleeps 8,349460842,Scott,FOURTEENTH WARD,42.6653,-73.7943,Entire home/apt,204.0,1,105,335
788301415655396660,Spacious 2 bed w/parking,232967878,Diana,SECOND WARD,42.64409,-73.75709,Entire home/apt,128.0,1,65,63
794723189688979530,Updated 3/1 unit for Professionals,20144241,Carla,FIFTH WARD,42.67283,-73.77367,Entire home/apt,94.0,3,14,58
795541666227926706,Victorian Mansion on Washington Park,493882819,Terra,NINTH WARD,42.656329,-73.7752048,Entire home/apt,800.0,1,5,178
