id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1375007693720508441,A peaceful home away from home,385963105,Samantha,,FOURTEENTH WARD,42.66598411229728,-73.81880097091198,Entire home/apt,128,7,0,,,1,88,0,
1376989617162173438,Cozy Sunshine,233515764,Etem,,SEVENTH WARD,42.64764408604364,-73.7715925383664,Entire home/apt,74,1,1,2025-03-31,0.91,6,113,1,
1377446918025263146,Woodlands private queen room,20536619,Emily,,TENTH WARD,42.66148231183373,-73.78761856260732,Private room,51,28,0,,,10,43,0,
1377471842094741150,Bright private queen room,20536619,Emily,,TENTH WARD,42.66310642184764,-73.78716159656459,Private room,52,28,0,,,10,71,0,
1377480167938312156,"Peony room, private w/ King bed!",20536619,Emily,,TENTH WARD,42.66183099633526,-73.78755056940085,Private room,53,28,0,,,10,115,0,
1377916686119912961,Furnished brand new studio,26674574,Zainab,,TWELFTH WARD,42.6868252,-73.8111413,Entire home/apt,64,3,1,2025-03-31,0.91,1,280,1,
1379906377578749938,Cozy Sunset,233515764,Etem,,SEVENTH WARD,42.64626119280813,-73.7715113891403,Entire home/apt,74,1,5,2025-04-27,3.57,6,301,5,
1380555997747082021,Luxury Albany Hotel with Pool & Breakfast,466790114,Zohar,,ELEVENTH WARD,42.6800233833328,-73.78522330726621,Private room,51,1,1,2025-04-07,1,7,363,1,
1381163571420241600,Albany 2BR Home Close to Downtown W/Free Breakfast,466790114,Zohar,,ELEVENTH WARD,42.68231684583981,-73.7836715628194,Entire home/apt,49,1,3,2025-04-14,2.81,7,352,3,
1383910626115273822,Blush large private queen room,20536619,Emily,,TENTH WARD,42.66317303594558,-73.78912755444637,Private room,51,28,0,,,10,159,0,
1390171272060324410,New Large Bedroom! Has Parking!,55596850,Alain,,NINTH WARD,42.66002,-73.79333,Private room,37,30,0,,,3,265,0,
1393472438317281309,Cozy Albany Suite Close to downtown W/breakfast.,466790114,Zohar,,ELEVENTH WARD,42.67776,-73.78216,Entire home/apt,55,1,1,2025-04-14,1,7,364,1,
1393482542585537728,Albany Cozy Suite Next to downtown W/breakfast,466790114,Zohar,,FIFTH WARD,42.67652148547361,-73.78111383843994,Entire home/apt,50,1,1,2025-04-13,1,7,364,1,
1393489507693048211,Albany 2BR Stay Close to Downtown W/Breakfast,466790114,Zohar,,ELEVENTH WARD,42.6774277859628,-73.78242873068034,Entire home/apt,45,1,0,,,7,358,0,
1393634713342137582,Albany stylish 2BR Room with breakfast,466790114,Zohar,,ELEVENTH WARD,42.67610273877896,-73.78233682651273,Entire home/apt,53,1,0,,,7,362,0,
1393634936904017469,New Bedroom! Includes Parking!,55596850,Alain,,NINTH WARD,42.659475284293904,-73.79368120012339,Private room,35,5,1,2025-04-30,1,3,264,1,
1393638070589049592,Albany Luxury 2BR Room with Breakfast & Pool,466790114,Zohar,,FIFTH WARD,42.67651022767566,-73.78215501783329,Entire home/apt,65,1,0,,,7,364,0,
1395631320915237453,Nice,594734396,Abdelrahman,,SECOND WARD,42.64481160353397,-73.7577543183059,Private room,57,1,0,,,2,334,0,
1395671676833912969,The Yellow Room with twin bed /tv,116935236,Felicisimo,,THIRTEENTH WARD,42.669917189344,-73.78632927186241,Private room,36,2,0,,,5,355,0,
1396921235971014566,New Bedroom Centrally Located! Parking & Laundry,55596850,Alain,,FOURTEENTH WARD,42.661116057130855,-73.79408139551636,Private room,31,5,0,,,3,314,0,
1402461183704514588,4 bedroom house in Albany,32379616,Fabiola,,TENTH WARD,42.6605291,-73.7831549,Entire home/apt,129,28,0,,,5,363,0,
1405327220192978468,Room near SUNY Albany,32379616,Fabiola,,TENTH WARD,42.659903296506094,-73.78257397435888,Private room,44,28,0,,,5,363,0,
1405768102601327206,Historic Studio and Great Eats,382970529,Thomas,,SIXTH WARD,42.655450233068514,-73.76273815121087,Entire home/apt,80,3,0,,,14,160,0,
